"T /K","Rho_Liq /(kg/m^3)","Rho_Vap /(kg/m^3)","P_Liq /Gpa","P_Vap /Gpa","E_Liq /(J/kg)","E_Vap /(J/kg)","S_Liq /(J/kg-K)","S_Vap /(J/kg-K)","G_Liq /(J/kg)","G_Vap /(J/kg)","PSI_Liq","PSI_Vap","NTY"
8.80698E+003,1.68058E+003,1.68058E+003,2.54743E+000,2.54743E+000,1.30859E+007,1.30859E+007,5.40214E+003,5.40214E+003,-3.29720E+007,-3.29720E+007,8.26170E-001,8.26170E-001,0
8.69638E+003,1.81355E+003,1.34931E+003,2.38528E+000,2.37856E+000,1.25108E+007,1.41416E+007,5.32440E+003,5.56383E+003,-3.24742E+007,-3.24779E+007,4.84294E-001,8.14707E-001,60
8.58578E+003,1.96991E+003,1.26176E+003,2.23303E+000,2.23303E+000,1.18848E+007,1.43419E+007,5.24054E+003,5.60084E+003,-3.19731E+007,-3.19731E+007,4.16611E-001,9.11047E-001,13
8.47518E+003,2.05747E+003,1.18304E+003,2.09193E+000,2.09193E+000,1.14902E+007,1.45156E+007,5.18902E+003,5.63468E+003,-3.14683E+007,-3.14683E+007,3.83692E-001,1.01401E+000,12
8.36458E+003,2.12213E+003,1.11047E+003,1.95506E+000,1.95506E+000,1.11715E+007,1.46714E+007,5.14779E+003,5.66658E+003,-3.09639E+007,-3.09639E+007,3.61088E-001,1.12634E+000,12
8.25398E+003,2.17588E+003,1.04257E+003,1.82249E+000,1.82249E+000,1.08892E+007,1.48143E+007,5.11134E+003,5.69722E+003,-3.04597E+007,-3.04597E+007,3.43262E-001,1.25048E+000,11
8.14339E+003,2.22286E+003,9.78380E+002,1.69431E+000,1.69431E+000,1.06299E+007,1.49473E+007,5.07779E+003,5.72706E+003,-2.99559E+007,-2.99559E+007,3.28326E-001,1.38914E+000,11
8.03279E+003,2.26509E+003,9.17242E+002,1.57065E+000,1.57065E+000,1.03868E+007,1.50730E+007,5.04618E+003,5.75645E+003,-2.94524E+007,-2.94524E+007,3.15362E-001,1.54550E+000,10
7.92219E+003,2.30375E+003,8.58683E+002,1.45160E+000,1.45160E+000,1.01560E+007,1.51928E+007,5.01598E+003,5.78566E+003,-2.89492E+007,-2.89492E+007,3.03842E-001,1.72334E+000,10
7.81159E+003,2.33960E+003,8.02372E+002,1.33727E+000,1.33727E+000,9.93495E+006,1.53081E+007,4.98684E+003,5.81491E+003,-2.84463E+007,-2.84463E+007,2.93431E-001,1.92728E+000,10
7.70099E+003,2.37317E+003,7.48076E+002,1.22776E+000,1.22776E+000,9.72200E+006,1.54198E+007,4.95850E+003,5.84437E+003,-2.79438E+007,-2.79438E+007,2.83901E-001,2.16300E+000,10
7.59039E+003,2.40484E+003,6.95639E+002,1.12315E+000,1.12315E+000,9.51586E+006,1.55286E+007,4.93080E+003,5.87418E+003,-2.74416E+007,-2.74416E+007,2.75089E-001,2.43761E+000,9
7.47979E+003,2.43488E+003,6.44962E+002,1.02353E+000,1.02353E+000,9.31558E+006,1.56350E+007,4.90359E+003,5.90447E+003,-2.69398E+007,-2.69398E+007,2.66874E-001,2.76001E+000,9
7.36919E+003,2.46353E+003,5.95991E+002,9.28969E-001,9.28969E-001,9.12044E+006,1.57393E+007,4.87678E+003,5.93536E+003,-2.64383E+007,-2.64383E+007,2.59163E-001,3.14153E+000,9
7.25860E+003,2.49095E+003,5.48707E+002,8.39529E-001,8.39529E-001,8.92986E+006,1.58417E+007,4.85027E+003,5.96692E+003,-2.59372E+007,-2.59372E+007,2.51884E-001,3.59669E+000,9
7.14800E+003,2.51728E+003,5.03124E+002,7.55254E-001,7.55254E-001,8.74338E+006,1.59425E+007,4.82400E+003,5.99925E+003,-2.54365E+007,-2.54365E+007,2.44981E-001,4.14424E+000,9
7.03740E+003,2.54263E+003,4.59278E+002,6.76174E-001,6.76174E-001,8.56064E+006,1.60416E+007,4.79791E+003,6.03242E+003,-2.49363E+007,-2.49363E+007,2.38405E-001,4.80865E+000,8
6.92680E+003,2.56710E+003,4.17226E+002,6.02300E-001,6.02300E-001,8.38132E+006,1.61388E+007,4.77196E+003,6.06650E+003,-2.44366E+007,-2.44366E+007,2.32119E-001,5.62209E+000,8
6.81620E+003,2.59076E+003,3.77036E+002,5.33618E-001,5.33618E-001,8.20515E+006,1.62342E+007,4.74610E+003,6.10153E+003,-2.39373E+007,-2.39373E+007,2.26090E-001,6.62733E+000,8
6.70560E+003,2.61368E+003,3.38790E+002,4.70093E-001,4.70093E-001,8.03193E+006,1.63274E+007,4.72028E+003,6.13757E+003,-2.34387E+007,-2.34387E+007,2.20293E-001,7.88172E+000,8
6.59500E+003,2.63589E+003,3.02571E+002,4.11664E-001,4.11664E-001,7.86146E+006,1.64183E+007,4.69449E+003,6.17467E+003,-2.29408E+007,-2.29408E+007,2.14703E-001,9.46294E+000,8
6.48441E+003,2.65746E+003,2.68462E+002,3.58239E-001,3.58239E-001,7.69359E+006,1.65064E+007,4.66870E+003,6.21287E+003,-2.24436E+007,-2.24436E+007,2.09302E-001,1.14773E+001,8
6.37381E+003,2.67842E+003,2.36544E+002,3.09700E-001,3.09700E-001,7.52818E+006,1.65915E+007,4.64286E+003,6.25219E+003,-2.19472E+007,-2.19472E+007,2.04073E-001,1.40718E+001,8
6.26321E+003,2.69879E+003,2.06883E+002,2.65897E-001,2.65897E-001,7.36509E+006,1.66731E+007,4.61696E+003,6.29268E+003,-2.14517E+007,-2.14517E+007,1.99000E-001,1.74517E+001,8
6.15261E+003,2.71860E+003,1.79531E+002,2.26651E-001,2.26651E-001,7.20424E+006,1.67508E+007,4.59099E+003,6.33436E+003,-2.09573E+007,-2.09573E+007,1.94072E-001,2.19073E+001,7
6.04201E+003,2.73788E+003,1.54520E+002,1.91753E-001,1.91753E-001,7.04551E+006,1.68242E+007,4.56490E+003,6.37725E+003,-2.04640E+007,-2.04640E+007,1.89276E-001,2.78529E+001,7
5.93141E+003,2.75665E+003,1.31853E+002,1.60968E-001,1.60968E-001,6.88881E+006,1.68928E+007,4.53868E+003,6.42138E+003,-1.99720E+007,-1.99720E+007,1.84603E-001,3.58869E+001,7
5.82081E+003,2.77491E+003,1.11510E+002,1.34037E-001,1.34037E-001,6.73408E+006,1.69563E+007,4.51232E+003,6.46678E+003,-1.94815E+007,-1.94815E+007,1.80043E-001,4.68837E+001,7
5.71021E+003,2.79269E+003,9.34383E+001,1.10681E-001,1.10681E-001,6.58122E+006,1.70142E+007,4.48578E+003,6.51347E+003,-1.89924E+007,-1.89924E+007,1.75588E-001,6.21355E+001,7
5.59962E+003,2.81000E+003,7.75542E+001,9.06078E-002,9.06078E-002,6.43016E+006,1.70661E+007,4.45905E+003,6.56146E+003,-1.85051E+007,-1.85051E+007,1.71230E-001,8.35751E+001,7
5.48902E+003,2.82685E+003,6.37471E+001,7.35146E-002,7.35146E-002,6.28083E+006,1.71118E+007,4.43210E+003,6.61079E+003,-1.80197E+007,-1.80197E+007,1.66964E-001,1.14130E+002,6
5.37842E+003,2.84325E+003,5.18807E+001,5.90972E-002,5.90972E-002,6.13316E+006,1.71509E+007,4.40492E+003,6.66149E+003,-1.75362E+007,-1.75362E+007,1.62781E-001,1.58291E+002,6
5.26782E+003,2.85922E+003,4.17987E+001,4.70546E-002,4.70546E-002,5.98709E+006,1.71834E+007,4.37747E+003,6.71361E+003,-1.70549E+007,-1.70549E+007,1.58677E-001,2.23044E+002,6
5.15722E+003,2.87477E+003,3.33313E+001,3.70956E-002,3.70956E-002,5.84255E+006,1.72092E+007,4.34974E+003,6.76720E+003,-1.65758E+007,-1.65758E+007,1.54645E-001,3.19411E+002,6
5.04662E+003,2.88991E+003,2.63016E+001,2.89432E-002,2.89432E-002,5.69946E+006,1.72281E+007,4.32169E+003,6.82233E+003,-1.60992E+007,-1.60992E+007,1.50681E-001,4.65054E+002,6
4.93602E+003,2.90466E+003,2.05324E+001,2.23392E-002,2.23392E-002,5.55776E+006,1.72403E+007,4.29330E+003,6.87911E+003,-1.56252E+007,-1.56252E+007,1.46780E-001,6.88746E+002,5
4.82543E+003,2.91903E+003,1.58518E+001,1.70468E-002,1.70468E-002,5.41739E+006,1.72461E+007,4.26454E+003,6.93767E+003,-1.51538E+007,-1.51538E+007,1.42938E-001,1.03819E+003,5
4.71483E+003,2.93302E+003,1.20979E+001,1.28526E-002,1.28526E-002,5.27828E+006,1.72455E+007,4.23538E+003,6.99815E+003,-1.46853E+007,-1.46853E+007,1.39150E-001,1.59399E+003,5
4.60423E+003,2.94667E+003,9.12204E+000,9.56991E-003,9.56734E-003,5.14037E+006,1.72390E+007,4.20578E+003,7.06076E+003,-1.42196E+007,-1.42196E+007,1.35411E-001,2.49518E+003,4
4.49363E+003,2.95998E+003,6.79090E+000,7.02691E-003,7.02532E-003,5.00358E+006,1.72269E+007,4.17571E+003,7.12573E+003,-1.37571E+007,-1.37571E+007,1.31720E-001,3.98682E+003,4
4.38303E+003,2.97296E+003,4.98712E+000,5.08476E-003,5.08379E-003,4.86787E+006,1.72098E+007,4.14513E+003,7.19333E+003,-1.32976E+007,-1.32976E+007,1.28072E-001,6.51140E+003,4
4.27243E+003,2.98563E+003,3.60931E+000,3.62189E-003,3.62131E-003,4.73316E+006,1.71880E+007,4.11401E+003,7.26390E+003,-1.28414E+007,-1.28414E+007,1.24464E-001,1.08886E+004,4
4.16183E+003,2.99801E+003,2.57119E+000,2.53631E-003,2.53597E-003,4.59939E+006,1.71621E+007,4.08228E+003,7.33782E+003,-1.23886E+007,-1.23886E+007,1.20894E-001,1.86798E+004,4
4.05124E+003,3.01011E+003,1.80046E+000,1.74358E-003,1.74337E-003,4.46651E+006,1.71328E+007,4.04993E+003,7.41552E+003,-1.19392E+007,-1.19392E+007,1.17359E-001,3.29505E+004,4
3.94064E+003,3.02194E+003,1.23731E+000,1.17460E-003,1.17460E-003,4.33446E+006,1.71006E+007,4.01688E+003,7.49750E+003,-1.14933E+007,-1.14933E+007,1.13856E-001,5.99214E+004,5
3.83004E+003,3.03351E+003,8.58940E-001,7.86256E-004,7.86256E-004,4.20318E+006,1.70374E+007,3.98308E+003,7.57315E+003,-1.10510E+007,-1.10510E+007,1.10383E-001,1.07269E+005,6
3.71944E+003,3.04484E+003,5.60172E-001,5.03605E-004,5.03605E-004,4.07261E+006,1.70101E+007,3.94849E+003,7.66870E+003,-1.06125E+007,-1.06125E+007,1.06939E-001,2.12349E+005,6
3.60884E+003,3.05594E+003,3.57156E-001,3.14519E-004,3.14519E-004,3.94271E+006,1.69797E+007,3.91303E+003,7.76975E+003,-1.01779E+007,-1.01779E+007,1.03520E-001,4.36140E+005,5
3.49824E+003,3.06682E+003,2.21900E-001,1.90967E-004,1.90967E-004,3.81341E+006,1.69475E+007,3.87664E+003,7.87735E+003,-9.74718E+006,-9.74718E+006,1.00126E-001,9.34342E+005,5
3.38764E+003,3.07749E+003,1.33876E-001,1.12363E-004,1.12363E-004,3.68466E+006,1.69149E+007,3.83925E+003,7.99267E+003,-9.32054E+006,-9.32054E+006,9.67551E-002,2.09975E+006,6
3.35947E+003,3.08016E+003,1.19674E-001,1.00000E-004,1.00000E-004,3.65199E+006,1.69068E+007,3.82944E+003,8.02434E+003,-9.21291E+006,-9.21291E+006,9.59017E-002,2.83378E+006,0
3.27704E+003,3.08796E+003,7.81336E-002,6.38375E-005,6.38375E-005,3.55643E+006,1.68830E+007,3.80076E+003,8.11697E+003,-8.89809E+006,-8.89809E+006,9.34052E-002,4.98089E+006,7
3.22175E+003,3.09313E+003,5.88764E-002,4.74309E-005,4.74309E-005,3.49248E+006,1.68677E+007,3.78108E+003,8.18293E+003,-8.68847E+006,-8.68847E+006,9.17377E-002,7.84511E+006,7
3.16645E+003,3.09825E+003,4.39282E-002,3.48796E-005,3.48796E-005,3.42865E+006,1.68531E+007,3.76109E+003,8.25170E+003,-8.47994E+006,-8.47994E+006,9.00750E-002,1.25575E+007,8
3.11115E+003,3.10332E+003,3.24326E-002,2.53720E-005,2.53720E-005,3.36492E+006,1.68393E+007,3.74079E+003,8.32349E+003,-8.27253E+006,-8.27253E+006,8.84168E-002,2.04478E+007,5
3.05585E+003,3.10835E+003,2.36798E-002,1.82447E-005,1.82447E-005,3.30129E+006,1.68264E+007,3.72015E+003,8.39851E+003,-8.06625E+006,-8.06625E+006,8.67630E-002,3.39066E+007,7
3.00055E+003,3.11334E+003,1.70859E-002,1.29607E-005,1.29607E-005,3.23776E+006,1.68146E+007,3.69917E+003,8.47704E+003,-7.86112E+006,-7.86112E+006,8.51135E-002,5.73187E+007,7
2.94525E+003,3.11828E+003,1.21744E-002,9.08918E-006,9.08917E-006,3.17431E+006,1.68041E+007,3.67782E+003,8.55932E+003,-7.65716E+006,-7.65716E+006,8.34679E-002,9.89008E+007,7
2.88995E+003,3.12318E+003,8.55984E-003,6.28766E-006,6.28765E-006,3.11094E+006,1.67951E+007,3.65610E+003,8.64565E+003,-7.45439E+006,-7.45439E+006,8.18262E-002,1.74399E+008,7
2.83465E+003,3.12805E+003,5.93382E-003,4.28713E-006,4.28713E-006,3.04765E+006,1.67877E+007,3.63399E+003,8.73634E+003,-7.25283E+006,-7.25284E+006,8.01882E-002,3.14715E+008,7
2.77935E+003,3.13287E+003,4.05197E-003,2.87855E-006,2.87855E-006,2.98444E+006,1.67822E+007,3.61147E+003,8.83174E+003,-7.05251E+006,-7.05251E+006,7.85537E-002,5.82042E+008,6
2.72405E+003,3.13766E+003,2.72298E-003,1.90151E-006,1.90151E-006,2.92129E+006,1.67787E+007,3.58852E+003,8.93223E+003,-6.85344E+006,-6.85344E+006,7.69225E-002,1.10493E+009,8
2.66875E+003,3.14241E+003,1.79895E-003,1.23451E-006,1.23451E-006,2.85821E+006,1.67775E+007,3.56512E+003,9.03822E+003,-6.65566E+006,-6.65566E+006,7.52945E-002,2.15670E+009,8
2.61345E+003,3.14712E+003,1.16710E-003,7.86825E-007,7.86825E-007,2.79519E+006,1.67788E+007,3.54126E+003,9.15015E+003,-6.45918E+006,-6.45918E+006,7.36695E-002,4.33624E+009,6
2.55815E+003,3.15180E+003,7.41979E-004,4.91496E-007,4.91496E-007,2.73222E+006,1.67841E+007,3.51690E+003,9.26917E+003,-6.26403E+006,-6.26403E+006,7.20473E-002,"1.00000+100",10
2.50285E+003,3.15644E+003,4.62582E-004,3.00834E-007,3.00834E-007,2.66931E+006,1.67909E+007,3.49204E+003,9.39441E+003,-6.07025E+006,-6.07025E+006,7.04276E-002,"1.00000+100",10
2.44755E+003,3.16105E+003,2.82072E-004,1.80053E-007,1.80053E-007,2.60645E+006,1.68011E+007,3.46664E+003,9.52730E+003,-5.87785E+006,-5.87785E+006,6.88105E-002,"1.00000+100",9
2.39226E+003,3.16563E+003,1.67971E-004,1.05214E-007,1.05214E-007,2.54363E+006,1.68150E+007,3.44068E+003,9.66854E+003,-5.68687E+006,-5.68687E+006,6.71956E-002,"1.00000+100",11
2.33696E+003,3.17017E+003,9.75169E-005,5.99257E-008,5.99257E-008,2.48085E+006,1.68331E+007,3.41413E+003,9.81887E+003,-5.49735E+006,-5.49735E+006,6.55827E-002,"1.00000+100",10
2.28166E+003,3.17469E+003,5.50927E-005,3.32058E-008,3.32058E-008,2.41811E+006,1.68556E+007,3.38696E+003,9.97915E+003,-5.30931E+006,-5.30931E+006,6.39718E-002,"1.00000+100",10
2.22636E+003,3.17917E+003,3.02269E-005,1.78647E-008,1.78647E-008,2.35541E+006,1.68832E+007,3.35913E+003,1.01504E+004,-5.12279E+006,-5.12279E+006,6.23626E-002,"1.00000+100",9
2.17106E+003,3.18362E+003,1.60696E-005,9.31078E-009,9.31077E-009,2.29274E+006,1.69162E+007,3.33063E+003,1.03336E+004,-4.93783E+006,-4.93783E+006,6.07548E-002,"1.00000+100",10
2.09869E+003,3.18940E+003,6.67492E-006,3.76694E-009,3.76694E-009,2.21078E+006,1.69687E+007,3.29223E+003,1.05935E+004,-4.69819E+006,-4.69819E+006,5.86528E-002,"1.00000+100",7
2.02632E+003,3.19513E+003,2.59954E-006,1.42835E-009,1.42834E-009,2.12886E+006,1.70329E+007,3.25251E+003,1.08794E+004,-4.46138E+006,-4.46138E+006,5.65526E-002,"1.00000+100",9
1.95395E+003,3.20081E+003,9.42448E-007,5.03983E-010,5.03990E-010,2.04698E+006,1.71108E+007,3.21136E+003,1.11949E+004,-4.22749E+006,-4.22749E+006,5.44538E-002,"1.00000+100",13
1.88158E+003,3.20645E+003,3.15471E-007,1.64132E-010,1.64134E-010,1.96515E+006,1.72042E+007,3.16868E+003,1.15447E+004,-3.99664E+006,-3.99664E+006,5.23560E-002,"1.00000+100",15
1.80921E+003,3.21204E+003,9.65770E-008,4.88593E-011,4.88702E-011,1.88334E+006,1.73154E+007,3.12434E+003,1.19343E+004,-3.76893E+006,-3.76893E+006,5.02587E-002,"1.00000+100",11
1.73685E+003,3.21759E+003,2.67421E-008,1.31606E-011,1.31573E-011,1.80157E+006,1.74473E+007,3.07821E+003,1.23702E+004,-3.54450E+006,-3.54450E+006,4.81616E-002,"1.00000+100",13
1.66448E+003,3.22309E+003,6.61150E-009,3.15874E-012,3.16191E-012,1.71983E+006,1.76030E+007,3.03014E+003,1.28605E+004,-3.32347E+006,-3.32347E+006,4.60641E-002,"1.00000+100",14
1.59211E+003,3.22855E+003,1.43735E-009,6.71625E-013,6.68010E-013,1.63812E+006,1.77861E+007,2.97994E+003,1.34150E+004,-3.10600E+006,-3.10600E+006,4.39660E-002,"1.00000+100",14
1.51974E+003,3.23398E+003,2.69854E-010,1.19019E-013,1.21848E-013,1.55643E+006,1.80007E+007,2.92743E+003,1.40456E+004,-2.89225E+006,-2.89225E+006,4.18669E-002,"1.00000+100",16
1.44737E+003,3.23936E+003,4.28168E-011,3.90291E-014,1.87784E-014,1.47476E+006,1.82512E+007,2.87237E+003,1.47670E+004,-2.68238E+006,-2.68238E+006,3.97664E-002,"1.00000+100",16
1.37500E+003,3.24471E+003,5.59377E-012,1.55687E-014,2.38215E-015,1.39312E+006,1.85422E+007,2.81450E+003,1.55970E+004,-2.47660E+006,-2.47660E+006,3.76643E-002,"1.00000+100",16
1.30263E+003,3.25002E+003,5.82966E-013,-1.29700E-014,2.40948E-016,1.31150E+006,1.88781E+007,2.75352E+003,1.65571E+004,-2.27512E+006,-2.27512E+006,3.55604E-002,"1.00000+100",19
1.23027E+003,3.25530E+003,4.66134E-014,-6.12736E-015,1.86845E-017,1.22991E+006,1.92625E+007,2.68907E+003,1.76732E+004,-2.07817E+006,-2.07817E+006,3.34544E-002,"1.00000+100",20
1.15790E+003,3.26054E+003,2.72428E-015,1.00136E-015,1.05772E-018,1.14835E+006,1.96965E+007,2.62074E+003,1.89758E+004,-1.88602E+006,-1.88602E+006,3.13465E-002,"1.00000+100",21
1.08553E+003,3.26575E+003,1.09468E-016,2.62260E-016,4.10823E-020,1.06683E+006,2.01774E+007,2.54804E+003,2.04997E+004,-1.69898E+006,-1.69898E+006,2.92367E-002,"1.00000+100",22
