"T /K","Rho_Liq /(kg/m^3)","Rho_Vap /(kg/m^3)","P_Liq /Gpa","P_Vap /Gpa","E_Liq /(J/kg)","E_Vap /(J/kg)","S_Liq /(J/kg-K)","S_Vap /(J/kg-K)","G_Liq /(J/kg)","G_Vap /(J/kg)","PSI_Liq","PSI_Vap","NTY"
3.06209E+004,1.99956E+003,1.99956E+003,5.42359E+000,5.42359E+000,1.42448E+007,1.42448E+007,2.92044E+003,2.92044E+003,-7.24639E+007,-7.24639E+007,5.14652E+001,5.14652E+001,0.00000E+000
3.01105E+004,2.25923E+003,1.74174E+003,5.22311E+000,5.22311E+000,1.36237E+007,1.44736E+007,2.88990E+003,2.94095E+003,-7.10759E+007,-7.10759E+007,2.04890E+001,4.09041E+001,1.40000E+001
2.96002E+004,2.36829E+003,1.63471E+003,5.02741E+000,5.02741E+000,1.32689E+007,1.44413E+007,2.87452E+003,2.94632E+003,-6.96897E+007,-6.96897E+007,1.76388E+001,4.71181E+001,1.20000E+001
2.90898E+004,2.45294E+003,1.55228E+003,4.83637E+000,4.83637E+000,1.29639E+007,1.43647E+007,2.86168E+003,2.94916E+003,-6.83054E+007,-6.83054E+007,1.56794E+001,5.25542E+001,1.20000E+001
2.85795E+004,2.52514E+003,1.48251E+003,4.64989E+000,4.64989E+000,1.26868E+007,1.42652E+007,2.85015E+003,2.95070E+003,-6.69229E+007,-6.69229E+007,1.41650E+001,5.76650E+001,1.10000E+001
2.80691E+004,2.58952E+003,1.42077E+003,4.46787E+000,4.46787E+000,1.24290E+007,1.41516E+007,2.83947E+003,2.95141E+003,-6.55423E+007,-6.55423E+007,1.29259E+001,6.26275E+001,1.10000E+001
2.75588E+004,2.64847E+003,1.36469E+003,4.29020E+000,4.29020E+000,1.21859E+007,1.40286E+007,2.82937E+003,2.95153E+003,-6.41637E+007,-6.41637E+007,1.18767E+001,6.75351E+001,1.10000E+001
2.70485E+004,2.70341E+003,1.31287E+003,4.11680E+000,4.11680E+000,1.19544E+007,1.38988E+007,2.81971E+003,2.95123E+003,-6.27871E+007,-6.27871E+007,1.09676E+001,7.24467E+001,1.00000E+001
2.65381E+004,2.75528E+003,1.26439E+003,3.94755E+000,3.94755E+000,1.17327E+007,1.37642E+007,2.81039E+003,2.95061E+003,-6.14126E+007,-6.14126E+007,1.01665E+001,7.74042E+001,1.00000E+001
2.60278E+004,2.80473E+003,1.21862E+003,3.78236E+000,3.78236E+000,1.15193E+007,1.36263E+007,2.80133E+003,2.94972E+003,-6.00402E+007,-6.00402E+007,9.45155E+000,8.24405E+001,1.00000E+001
2.55174E+004,2.85224E+003,1.17509E+003,3.62114E+000,3.62114E+000,1.13131E+007,1.34859E+007,2.79247E+003,2.94864E+003,-5.86699E+007,-5.86699E+007,8.80693E+000,8.75833E+001,9.00000E+000
2.50071E+004,2.89820E+003,1.13345E+003,3.46380E+000,3.46380E+000,1.11131E+007,1.33440E+007,2.78377E+003,2.94741E+003,-5.73018E+007,-5.73018E+007,8.22099E+000,9.28576E+001,9.00000E+000
2.44967E+004,2.94290E+003,1.09343E+003,3.31024E+000,3.31024E+000,1.09186E+007,1.32010E+007,2.77520E+003,2.94605E+003,-5.59359E+007,-5.59359E+007,7.68479E+000,9.82877E+001,9.00000E+000
2.39864E+004,2.98659E+003,1.05481E+003,3.16038E+000,3.16038E+000,1.07290E+007,1.30577E+007,2.76672E+003,2.94460E+003,-5.45724E+007,-5.45724E+007,7.19129E+000,1.03897E+002,9.00000E+000
2.34760E+004,3.02949E+003,1.01741E+003,3.01414E+000,3.01414E+000,1.05438E+007,1.29143E+007,2.75829E+003,2.94309E+003,-5.32113E+007,-5.32113E+007,6.73488E+000,1.09711E+002,9.00000E+000
2.29657E+004,3.07178E+003,9.81086E+002,2.87143E+000,2.87143E+000,1.03624E+007,1.27712E+007,2.74990E+003,2.94154E+003,-5.18526E+007,-5.18526E+007,6.31099E+000,1.15756E+002,9.00000E+000
2.24553E+004,3.11362E+003,9.45711E+002,2.73217E+000,2.73217E+000,1.01843E+007,1.26287E+007,2.74152E+003,2.93997E+003,-5.04965E+007,-5.04965E+007,5.91585E+000,1.22058E+002,9.00000E+000
2.19450E+004,3.15517E+003,9.11180E+002,2.59630E+000,2.59630E+000,1.00093E+007,1.24870E+007,2.73313E+003,2.93839E+003,-4.91429E+007,-4.91429E+007,5.54632E+000,1.28650E+002,9.00000E+000
2.14347E+004,3.19657E+003,8.77399E+002,2.46375E+000,2.46375E+000,9.83680E+006,1.23464E+007,2.72470E+003,2.93684E+003,-4.77921E+007,-4.77921E+007,5.19975E+000,1.35566E+002,8.00000E+000
2.09243E+004,3.23796E+003,8.44289E+002,2.33444E+000,2.33444E+000,9.66655E+006,1.22069E+007,2.71621E+003,2.93531E+003,-4.64440E+007,-4.64440E+007,4.87387E+000,1.42844E+002,8.00000E+000
2.04140E+004,3.27949E+003,8.11778E+002,2.20833E+000,2.20833E+000,9.49816E+006,1.20688E+007,2.70763E+003,2.93384E+003,-4.50987E+007,-4.50987E+007,4.56675E+000,1.50529E+002,8.00000E+000
1.99036E+004,3.32128E+003,7.79803E+002,2.08535E+000,2.08535E+000,9.33129E+006,1.19320E+007,2.69894E+003,2.93243E+003,-4.37564E+007,-4.37564E+007,4.27671E+000,1.58670E+002,8.00000E+000
1.93933E+004,3.36349E+003,7.48305E+002,1.96546E+000,1.96546E+000,9.16559E+006,1.17968E+007,2.69012E+003,2.93111E+003,-4.24173E+007,-4.24173E+007,4.00230E+000,1.67328E+002,8.00000E+000
1.88829E+004,3.40626E+003,7.17233E+002,1.84862E+000,1.84862E+000,9.00071E+006,1.16630E+007,2.68113E+003,2.92989E+003,-4.10812E+007,-4.10812E+007,3.74223E+000,1.76570E+002,8.00000E+000
1.83726E+004,3.44976E+003,6.86538E+002,1.73478E+000,1.73478E+000,8.83631E+006,1.15308E+007,2.67195E+003,2.92879E+003,-3.97486E+007,-3.97486E+007,3.49539E+000,1.86476E+002,8.00000E+000
1.78622E+004,3.49416E+003,6.56175E+002,1.62393E+000,1.62393E+000,8.67203E+006,1.14002E+007,2.66254E+003,2.92782E+003,-3.84194E+007,-3.84194E+007,3.26078E+000,1.97144E+002,8.00000E+000
1.73519E+004,3.53965E+003,6.26102E+002,1.51604E+000,1.51603E+000,8.50748E+006,1.12711E+007,2.65286E+003,2.92701E+003,-3.70938E+007,-3.70938E+007,3.03753E+000,2.08687E+002,7.00000E+000
1.68415E+004,3.58645E+003,5.96281E+002,1.41109E+000,1.41109E+000,8.34227E+006,1.11435E+007,2.64288E+003,2.92638E+003,-3.57719E+007,-3.57719E+007,2.82486E+000,2.21243E+002,7.00000E+000
1.63312E+004,3.63480E+003,5.66675E+002,1.30910E+000,1.30910E+000,8.17597E+006,1.10174E+007,2.63255E+003,2.92596E+003,-3.44541E+007,-3.44541E+007,2.62208E+000,2.34983E+002,7.00000E+000
1.58209E+004,3.68496E+003,5.37248E+002,1.21006E+000,1.21006E+000,8.00811E+006,1.08926E+007,2.62181E+003,2.92576E+003,-3.31405E+007,-3.31405E+007,2.42857E+000,2.50113E+002,7.00000E+000
1.53105E+004,3.73726E+003,5.07968E+002,1.11400E+000,1.11400E+000,7.83818E+006,1.07692E+007,2.61061E+003,2.92584E+003,-3.18312E+007,-3.18312E+007,2.24380E+000,2.66893E+002,7.00000E+000
1.48002E+004,3.79205E+003,4.78805E+002,1.02094E+000,1.02094E+000,7.66562E+006,1.06470E+007,2.59887E+003,2.92622E+003,-3.05267E+007,-3.05267E+007,2.06727E+000,2.85649E+002,7.00000E+000
1.42898E+004,3.84976E+003,4.49728E+002,9.30931E-001,9.30931E-001,7.48978E+006,1.05260E+007,2.58652E+003,2.92694E+003,-2.92271E+007,-2.92271E+007,1.89858E+000,3.06796E+002,7.00000E+000
1.37795E+004,3.91088E+003,4.20714E+002,8.44034E-001,8.44034E-001,7.30994E+006,1.04059E+007,2.57344E+003,2.92808E+003,-2.79329E+007,-2.79329E+007,1.73736E+000,3.30874E+002,7.00000E+000
1.32691E+004,3.97601E+003,3.91739E+002,7.60325E-001,7.60325E-001,7.12525E+006,1.02868E+007,2.55953E+003,2.92968E+003,-2.66444E+007,-2.66444E+007,1.58330E+000,3.58589E+002,6.00000E+000
1.27588E+004,4.04584E+003,3.62789E+002,6.79901E-001,6.79901E-001,6.93474E+006,1.01685E+007,2.54465E+003,2.93185E+003,-2.53620E+007,-2.53620E+007,1.43618E+000,3.90883E+002,6.00000E+000
1.22484E+004,4.12121E+003,3.33854E+002,6.02879E-001,6.02879E-001,6.73730E+006,1.00510E+007,2.52862E+003,2.93467E+003,-2.40863E+007,-2.40863E+007,1.29579E+000,4.29041E+002,6.00000E+000
1.17381E+004,4.20309E+003,3.04936E+002,5.29399E-001,5.29399E-001,6.53161E+006,9.93397E+006,2.51125E+003,2.93830E+003,-2.28180E+007,-2.28180E+007,1.16205E+000,4.74846E+002,6.00000E+000
1.12278E+004,4.29265E+003,2.76054E+002,4.59633E-001,4.59633E-001,6.31617E+006,9.81749E+006,2.49226E+003,2.94289E+003,-2.15576E+007,-2.15576E+007,1.03493E+000,5.30832E+002,6.00000E+000
1.07174E+004,4.39126E+003,2.47251E+002,3.93782E-001,3.93782E-001,6.08927E+006,9.70141E+006,2.47137E+003,2.94867E+003,-2.03062E+007,-2.03062E+007,9.14498E-001,6.00695E+002,6.00000E+000
1.02071E+004,4.50047E+003,2.18604E+002,3.32085E-001,3.32085E-001,5.84902E+006,9.58568E+006,2.44820E+003,2.95592E+003,-1.90647E+007,-1.90647E+007,8.00951E-001,6.89982E+002,6.00000E+000
9.69672E+003,4.62197E+003,1.90240E+002,2.74819E-001,2.74819E-001,5.59348E+006,9.47024E+006,2.42234E+003,2.96501E+003,-1.78344E+007,-1.78344E+007,6.94608E-001,8.07299E+002,6.00000E+000
9.18637E+003,4.75746E+003,1.62351E+002,2.22306E-001,2.22306E-001,5.32085E+006,9.35504E+006,2.39328E+003,2.97643E+003,-1.66167E+007,-1.66167E+007,5.95928E-001,9.66502E+002,6.00000E+000
8.67603E+003,4.90839E+003,1.35224E+002,1.74900E-001,1.74900E-001,5.02990E+006,9.24007E+006,2.36054E+003,2.99081E+003,-1.54134E+007,-1.54134E+007,5.05492E-001,1.19086E+003,5.00000E+000
8.16568E+003,5.07551E+003,1.09253E+002,1.32982E-001,1.32982E-001,4.72052E+006,9.12530E+006,2.32365E+003,3.00897E+003,-1.42264E+007,-1.42264E+007,4.23934E-001,1.52144E+003,5.00000E+000
7.65534E+003,5.25839E+003,8.49516E+001,9.69157E-002,9.69157E-002,4.39438E+006,9.01071E+006,2.28230E+003,3.03198E+003,-1.30579E+007,-1.30579E+007,3.51809E-001,2.03501E+003,5.00000E+000
7.14499E+003,5.45497E+003,6.29309E+001,6.69886E-002,6.69886E-002,4.05527E+006,8.89630E+006,2.23637E+003,3.06122E+003,-1.19104E+007,-1.19104E+007,2.89405E-001,2.88541E+003,5.00000E+000
6.63465E+003,5.66160E+003,4.38340E+001,4.33166E-002,4.33166E-002,3.70887E+006,8.78202E+006,2.18601E+003,3.09850E+003,-1.07860E+007,-1.07860E+007,2.36569E-001,4.40817E+003,5.00000E+000
6.12430E+003,5.87360E+003,2.82175E+001,2.57345E-002,2.57345E-002,3.36167E+006,8.66785E+006,2.13152E+003,3.14620E+003,-9.68727E+006,-9.68727E+006,1.92647E-001,7.41568E+003,5.00000E+000
5.61395E+003,6.08615E+003,1.64019E+001,1.37103E-002,1.37103E-002,3.01969E+006,8.55377E+006,2.07320E+003,3.20754E+003,-8.61626E+006,-8.61626E+006,1.56582E-001,1.41504E+004,5.00000E+000
5.10361E+003,6.29517E+003,8.33554E+000,6.33970E-003,6.33373E-003,2.68743E+006,8.43974E+006,2.01116E+003,3.28703E+003,-7.57513E+006,-7.57514E+006,1.27125E-001,3.19317E+004,4.00000E+000
4.84844E+003,6.39738E+003,5.57327E+000,4.02300E-003,4.02300E-003,2.52584E+006,8.38274E+006,1.97868E+003,3.33550E+003,-7.06646E+006,-7.06646E+006,1.14481E-001,5.20040E+004,5.00000E+000
4.59326E+003,6.49767E+003,3.53578E+000,2.41902E-003,2.41789E-003,2.36755E+006,8.32574E+006,1.94514E+003,3.39118E+003,-6.56609E+006,-6.56609E+006,1.03030E-001,9.05292E+004,4.00000E+000
4.33809E+003,6.59587E+003,2.10839E+000,1.36166E-003,1.36166E-003,2.21264E+006,8.26875E+006,1.91044E+003,3.45539E+003,-6.07433E+006,-6.07433E+006,9.26399E-002,1.70553E+005,5.00000E+000
4.08292E+003,6.69182E+003,1.16770E+000,7.09777E-004,7.09777E-004,2.06111E+006,8.21177E+006,1.87444E+003,3.52982E+003,-5.59153E+006,-5.59153E+006,8.31889E-002,3.53207E+005,5.00000E+000
3.82775E+003,6.78545E+003,5.91703E-001,3.37185E-004,3.37185E-004,1.91294E+006,8.15478E+006,1.83697E+003,3.61662E+003,-5.11806E+006,-5.11806E+006,7.45687E-002,8.20057E+005,5.00000E+000
3.57257E+003,6.87670E+003,2.69060E-001,1.43104E-004,1.43104E-004,1.76802E+006,8.09780E+006,1.79779E+003,3.71854E+003,-4.65433E+006,-4.65433E+006,6.66823E-002,2.18946E+006,7.00000E+000
3.45069E+003,6.91914E+003,1.91669E-001,1.00000E-004,1.00000E-004,1.70030E+006,8.07058E+006,1.77813E+003,3.77619E+003,-4.43771E+006,-4.43771E+006,6.32251E-002,4.46323E+006,0.00000E+000
3.31740E+003,6.96555E+003,1.07036E-001,5.28628E-005,5.28628E-005,1.62625E+006,8.04082E+006,1.75662E+003,3.83923E+003,-4.20083E+006,-4.20083E+006,5.94444E-002,6.94976E+006,6.00000E+000
3.06223E+003,7.05203E+003,3.60080E-002,1.64156E-005,1.64156E-005,1.48747E+006,7.98383E+006,1.71310E+003,3.98355E+003,-3.75811E+006,-3.75811E+006,5.27796E-002,2.74207E+007,7.00000E+000
2.80706E+003,7.13615E+003,9.77883E-003,4.08657E-006,4.08657E-006,1.35155E+006,7.92685E+006,1.66675E+003,4.15819E+003,-3.32685E+006,-3.32685E+006,4.66220E-002,1.42928E+008,7.00000E+000
2.55188E+003,7.21797E+003,2.00859E-003,7.63087E-007,7.63087E-007,1.21832E+006,7.86987E+006,1.61700E+003,4.37256E+003,-2.90783E+006,-2.90783E+006,4.09138E-002,1.07215E+009,7.00000E+000
2.29671E+003,7.29753E+003,2.83937E-004,9.70843E-008,9.70842E-008,1.08761E+006,7.81288E+006,1.56304E+003,4.64031E+003,-2.50203E+006,-2.50203E+006,3.56045E-002,1.00000E+100,7.00000E+000
