#Entropy	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P-144877115000.0	P-126156567000.0	P-88238400200.0	P-24576650900.0	P62414426500.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P-135271197000.0	P-107620067000.0	P-57692654700.0	P20821316200.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P-140179487000.0	P-121209778000.0	P-83041821000.0	P-19186880200.0	P67945174800.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P-119425572000.0	P-88157636600.0	P-33950327500.0	P48266556300.0	P2.05854712	P2.05855047	P2.05855123	P2.05855123	P2.05855167	P2.05855167	P2.05855167	P2.05855167	P2.05855167	P2.05855167	P-97828000500.0	P-68788890700.0	P-18745107100.0	P59055855600.0	P20215868.8	P44553958.8	P61953853.7	P76155145.6	P89038373.0	P102479507.0	P116142089.0	P117711560.0	P119049411.0	P120199464.0	P121198681.0	P8926381140.0	P67319266300.0	P168117368.0	P613587105.0	P1247088960.0	P2218798090.0	P3912414240.0	P8237885080.0	P28549961700.0	P42896993500.0	P64807086300.0	P97551528300.0	P753457783.0	P2233471890.0	P5396950650.0	P12467297000.0	P34193071500.0	P134142401.0	P3149393360.0	P12314339300.0	P29317071300.0	P64268746000.0	P1672824680.0	P14262260800.0	P41091589900.0	P93699751700.0	P14107033000.0	P53303926300.0	*P1056354.44
41501.7118	55.8785575	55.8785575	55.8785575	55.8785575	55.8785575	55.8785575	55.8785575	55.8785575	55.8785575	55.8785575	33.9037739	41.7494006	48.5215555	54.3673635	59.4137342	159.956594	159.956594	159.956594	159.956594	159.956594	159.956594	159.956594	159.956594	159.956594	159.956594	135.007219	144.8267	153.744505	161.843444	279.593871	279.593871	279.593871	279.593871	279.593871	279.593871	279.593871	279.593871	279.593871	279.593871	232.17302	246.994992	262.281154	276.521655	289.329111	736.609597	736.609597	736.609597	736.609597	736.609597	736.609597	736.609597	736.609597	736.609597	736.609597	644.188489	683.595206	720.682582	755.163913	1885.06039	1885.06051	1885.06054	1885.06054	1885.06056	1885.06056	1885.06056	1885.06056	1885.06056	1885.06056	1667.64215	1766.29428	1859.75815	1947.53817	4090.69263	4336.12039	4446.95243	4519.68772	4575.79854	4627.47613	4673.66677	4678.90073	4683.34961	4687.17398	4690.49677	4738.77458	4964.36409	4819.24315	5395.92233	5773.53044	6129.1558	6549.29643	7237.38409	8960.44288	9602.4785	10328.2892	11165.5635	5526.77633	6225.1096	7399.32109	8962.45132	11862.5191	5281.91495	9501.8959	14013.9591	17744.3835	22180.6599	12613.3655	22259.5191	29867.4069	37667.1262	31013.0888	43193.0376	296862.55
415017.118	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	67.019911629	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	64.6329793049	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	67.3256569336	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	66.2227266371	63.3865381738	63.3865381738	63.3865381738	63.3865381738	63.3865381738	63.3865381738	63.3865381738	63.3865381738	63.3865381738	63.3865381738	nan	nan	nan	66.8313658704	63.3877626114	63.3892367244	63.3902906037	63.3911507497	63.3919310629	63.3927451675	63.3935726847	63.3936677447	63.3937487758	63.3938184324	63.3938789531	63.9258431676	67.2910734428	63.396720731	63.4237020074	63.4620720406	63.5209266616	63.6235058529	63.8848024128	65.0870705329	65.9165646675	67.1522672852	68.9266530317	63.4321737151	63.5218154265	63.7134214718	64.1369146148	65.414674174	63.3946629303	63.5772910924	64.1277969164	65.1321415276	67.1225222237	63.4878580641	64.2439111157	65.8136240851	68.7225429771	64.2346580982	66.508460115	63.3866021551
4150171.18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	143.04003162	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	139.74173205	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	143.46826911	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	141.932194958	138.041345684	138.041345684	138.041345684	138.041345684	138.041345684	138.041345684	138.041345684	138.041345684	138.041345684	138.041345684	nan	nan	nan	142.778067277	138.043007333	138.045007809	138.046437999	138.047605278	138.048664218	138.049769016	138.050892016	138.051021019	138.051130984	138.051225513	138.051307644	138.775052108	143.419993574	138.055164139	138.09177965	138.143850514	138.223720421	138.36292768	138.718460979	140.363812277	141.50880618	143.226232288	145.721524033	138.10327636	138.224926538	138.48494957	139.063141491	140.81572272	138.052371557	138.300210962	139.050709524	140.425557082	143.18466623	138.178843982	139.209031055	141.365401347	145.43162817	139.19641458	142.329390411	138.041432511
1000000.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	78.9308395267	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	76.4011329345	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	79.2557746149	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	78.0849906052	75.0835683853	75.0835683853	75.0835683853	75.0835683853	75.0835683853	75.0835683853	75.0835683853	75.0835683853	75.0835683853	75.0835683853	nan	nan	nan	78.7307941598	75.0848613002	75.0864178537	75.0875306719	75.0884389219	75.0892628745	75.0901225083	75.0909963049	75.0910966812	75.091182244	75.0912557962	75.0913197016	75.6533764239	79.2190464994	75.0943204074	75.1228106255	75.1633265227	75.2254726188	75.3337886043	75.6099991112	76.8815355236	77.7604675108	79.071632561	80.9589305311	75.1317561179	75.2264110883	75.4287328007	75.876464722	77.2286214107	75.092147523	75.2849892595	75.8668279291	76.9292180623	79.0400429202	75.1905546429	75.9895528143	77.6513533827	80.7413882084	75.9797729983	78.3881940356	75.0836359448
1250000.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	84.0205620065	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	81.4298434783	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	84.3536974302	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	83.1539171501	80.0818867439	80.0818867439	80.0818867439	80.0818867439	80.0818867439	80.0818867439	80.0818867439	80.0818867439	80.0818867439	80.0818867439	nan	nan	nan	83.8156022628	80.083208923	80.084800708	80.0859387139	80.0868675215	80.0877101237	80.0885892147	80.089482789	80.0895854372	80.0896729367	80.0897481537	80.0898135055	80.6647293804	84.3160528116	80.0928821301	80.1220172034	80.163450148	80.2270028753	80.3377705135	80.620353527	81.9214904175	82.8215473104	84.164960347	86.1005119502	80.1311651704	80.2279625864	80.4348637019	80.8929531453	82.2769006825	80.0906600641	80.2878666314	80.8830945145	81.9702890183	84.1325824271	80.1912945567	81.0086445123	82.7097948778	85.8772288221	80.9986395661	83.4645857174	80.0819558326
1500000.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	89.1099451977	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	86.4582174397	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	89.4512805769	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	88.2225051938	85.0798704086	85.0798704086	85.0798704086	85.0798704086	85.0798704086	85.0798704086	85.0798704086	85.0798704086	85.0798704086	85.0798704086	nan	nan	nan	88.9000711543	85.0812218519	85.0828488683	85.084012062	85.0849614272	85.0858226789	85.086721227	85.0876345791	85.0877394992	85.0878289354	85.0879058171	85.0879726154	85.6757469889	89.412719471	85.0911091587	85.1208890866	85.1632390781	85.2281984355	85.3414177243	85.630372604	86.9611085444	87.8822887647	89.2579485438	91.2417532647	85.1302395281	85.2291793881	85.4406599031	85.9091061733	87.324842307	85.0888379111	85.2904093058	85.8990257067	87.0110231891	89.2247823585	85.1916997747	86.0274007911	87.7678677026	91.0127291356	86.0171707167	88.5406383196	85.0799410265
1750000.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	94.1989891024	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	91.4862548617	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	94.5485240551	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	93.2907547065	90.0775195269	90.0775195269	90.0775195269	90.0775195269	90.0775195269	90.0775195269	90.0775195269	90.0775195269	90.0775195269	90.0775195269	nan	nan	nan	93.9842008363	90.0789002339	90.0805624812	90.0817508624	90.0827207849	90.0836006859	90.0845186909	90.0854518205	90.0855590125	90.0856503853	90.0857289318	90.0857971765	90.6864292551	94.5090464782	90.0890016376	90.1194264116	90.1626934378	90.2290594066	90.3447303138	90.6400563476	92.0003900832	92.9426917977	94.3505971534	96.3826545274	90.1289793249	90.2300616005	90.4461214545	90.9249238135	92.3724463762	90.0866812091	90.2926173735	90.914621513	92.0514207669	94.3166427166	90.1917704143	91.0458216591	92.8255333444	96.147889186	91.0353664585	93.6163518441	90.0775916738
2000000.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	99.2876936302	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	96.5139558242	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	99.6454277333	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	98.3586656935	95.074833956	95.074833956	95.074833956	95.074833956	95.074833956	95.074833956	95.074833956	95.074833956	95.074833956	95.074833956	nan	nan	nan	99.067991249	95.0762439268	95.077941405	95.0791549737	95.0801454534	95.0810440037	95.0819814656	95.0829343726	95.0830438366	95.083137146	95.0832173573	95.0832870484	95.6967761888	99.6050337061	95.0865594273	95.1176290469	95.1618131069	95.2295856861	95.3477082095	95.6493914043	97.039334964	98.0027564213	99.4429060673	101.523215371	95.1273844318	95.2306091212	95.4512483103	95.9404061103	97.4197128323	95.0841898178	95.2944907483	95.9298819764	97.0914816671	99.4081633969	95.1915063627	96.0639071781	97.8828612576	101.28270866	96.0532268518	98.6917262836	95.0749076321
2250000.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	104.376058949	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	101.541320213	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	104.741992154	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	103.426237765	100.07181375	100.07181375	100.07181375	100.07181375	100.07181375	100.07181375	100.07181375	100.07181375	100.07181375	100.07181375	nan	nan	nan	104.151442377	100.073252983	100.074985691	100.076224446	100.077235482	100.078152681	100.079109599	100.080082283	100.080194019	100.080289265	100.080371141	100.080442278	100.706787406	104.700681653	100.083782572	100.115497013	100.160598072	100.229777207	100.350351253	100.658295601	102.077943022	103.062482233	104.534875607	106.663437208	100.125454861	100.230821883	100.456040232	100.955552771	102.466641418	100.081363784	100.296029313	100.9448068	102.13120572	104.499344682	100.190907583	101.081657102	102.939851043	106.417188762	101.070751647	103.766761308	100.071888955
2500000.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	109.464085439	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	106.568347761	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	109.838216765	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	108.493472128	105.068459285	105.068459285	105.068459285	105.068459285	105.068459285	105.068459285	105.068459285	105.068459285	105.068459285	105.068459285	nan	nan	nan	109.234554875	105.069927782	105.07169572	105.072959663	105.073991256	105.074927104	105.075903479	105.07689594	105.077009948	105.07710713	105.077190671	105.077263255	105.716464036	109.795989886	105.080671466	105.113030747	105.159048833	105.229634568	105.352660211	105.666865902	107.11621468	108.121870446	109.626505814	111.803318132	105.123191066	105.230700485	105.460498134	105.970364415	107.51323294	105.078203497	105.297233759	105.959396626	107.170593416	109.590186718	105.189974619	106.099071791	107.996503891	111.551327851	106.087941226	108.841458044	105.068536019
