#Entropy	P318.871868	P2477463190.000000	P10616202800.000000	P37130030300.000000	P131632621000.000000	P506485527000.000000	P639214903000.000000	P782079315000.000000	P952433604000.000000	P1141842300000.000000	P1358868850000.000000	P1586897850000.000000	P1835548490000.000000	P2104786810000.000000	P2396120650000.000000	P2614561580000.000000	P2962072790000.000000	P3499668870000.000000	P4134904600000.000000	P4858271530000.000000	P5663806720000.000000	P6549142300000.000000	P7512178540000.000000	P8551043990000.000000	P9664062550000.000000	P10851977700000.000000	P12122947400000.000000	P13464435400000.000000	P14875306900000.000000	P16354524000000.000000
41501.711800	55.878557	55.878557	55.878557	55.878557	55.878557	55.878557	55.878557	55.878557	41.749401	50.815314	58.219084	64.323307	69.477809	73.921648	77.818890	81.285640	84.406322	87.243807	89.845937	92.249820	94.484742	96.574177	98.537212	100.389566	102.144333	103.812540	105.403564	106.925445	108.385136	109.788696
415017.118000	63.386538	63.536594	64.026572	65.584696	70.680244	84.543962	87.751901	92.799429	94.398806	95.920360	97.433633	98.832809	100.191788	101.514631	102.808939	103.704409	105.020497	106.846669	108.755251	110.682436	112.596181	114.483941	116.339136	118.158462	119.941503	121.692126	123.423585	125.089715	126.753559	128.385101
4150171.180000	138.041346	138.244981	138.912690	141.049742	148.223008	169.496921	174.882392	183.820630	186.772377	189.642240	192.557768	195.311819	198.042234	200.783993	203.580313	205.531935	208.426285	212.495021	216.814645	221.248401	225.724654	230.213582	234.697667	239.166008	243.614301	248.048675	252.575776	257.020784	261.469991	265.846329
1000000.000000	75.083568	75.242016	75.759840	77.408667	82.829640	97.853118	101.401789	107.056960	108.867946	110.600484	112.333259	113.944513	115.518208	117.058645	118.574513	119.628389	121.185195	123.361621	125.657356	127.998520	130.347405	132.688989	135.015000	137.320908	139.605539	141.873167	144.140543	146.352460	148.579276	150.787018
1250000.000000	80.081887	80.243920	80.773644	82.461230	88.021275	103.540481	107.234803	113.149851	115.051292	116.874017	118.700612	120.402514	122.067978	123.701415	125.311977	126.433552	128.093238	130.419356	132.880550	135.398637	137.933489	140.469022	142.996244	145.510101	148.009092	150.497669	152.994076	155.439245	157.906650	160.360639
1500000.000000	85.079870	85.245490	85.787112	87.513455	93.212571	109.227558	113.067552	119.242592	121.234502	123.147427	125.067849	126.860408	128.617645	130.344085	132.049345	133.238624	135.001191	137.477004	140.103660	142.798674	145.519493	148.248976	150.977412	153.699216	156.412570	159.122095	161.847534	164.525953	167.233945	169.934183
1750000.000000	90.077520	90.246726	90.800245	92.565343	98.403528	114.914350	118.900036	125.335183	127.417576	129.420713	131.434969	133.318191	135.167209	136.986656	138.786619	140.043603	141.909055	144.534566	147.326687	150.198630	153.105419	156.028853	158.958503	161.888256	164.815972	167.746447	170.700916	173.612586	176.561162	179.507650
2000000.000000	95.074834	95.247626	95.813043	97.616893	103.594145	120.600857	124.732254	131.427625	133.600513	135.693874	137.801974	139.775867	141.716668	143.629127	145.523798	146.848490	148.816830	151.592042	154.549631	157.598505	160.691266	163.808653	166.939517	170.077219	173.219298	176.370722	179.554221	182.699144	185.888303	189.081041
2250000.000000	100.071814	100.248192	100.825505	102.668105	108.784424	126.287077	130.564208	137.519919	139.783314	141.966912	144.168862	146.233434	148.266025	150.271500	152.260881	153.653283	155.724515	158.649432	161.772492	164.998299	168.277033	171.588375	174.920454	178.266106	181.622548	184.994921	188.407452	191.785627	195.215366	198.561048
2500000.000000	105.068459	105.248424	105.837632	107.718980	113.974362	131.973013	136.395897	143.612061	145.965978	148.239825	150.535633	152.690892	154.815278	156.913772	158.997870	160.457985	162.632111	165.706735	168.995270	172.398013	175.862722	179.368018	182.901315	186.454917	190.025722	193.619045	197.260606	200.774540	204.185690	207.543141
2750000.000000	110.064770	110.248321	110.849424	112.769517	119.163963	137.658663	142.227321	149.704055	152.148506	154.512615	156.902288	159.148242	161.364427	163.555946	165.734763	167.262594	169.539617	172.763952	176.217963	179.797646	183.448332	187.147584	190.882100	194.643652	198.428821	202.132375	205.762852	209.293205	212.839565	216.344550
3000000.000000	115.060745	115.247883	115.860880	117.819716	124.353223	143.344027	148.058480	155.795900	158.330898	160.785281	163.268827	165.605485	167.913473	170.198020	172.471562	174.067110	176.447034	179.821083	183.440574	187.197198	191.033861	194.927073	198.862807	202.738632	206.549996	210.330856	214.107900	217.786665	221.485524	225.145898
3250000.000000	120.056387	120.247111	120.872001	122.869578	129.542145	149.029107	153.889374	161.887595	164.513154	167.057823	169.635250	172.062617	174.462415	176.839994	179.208265	180.871534	183.354362	186.878128	190.663101	194.596669	198.619313	202.662048	206.673971	210.656562	214.606367	218.529274	222.452886	226.280063	230.131420	233.947184
3500000.000000	125.051694	125.246003	125.882786	127.919102	134.730728	154.713900	159.720003	167.979140	170.695273	173.330240	176.001557	178.519642	181.011254	183.481869	185.944874	187.675865	190.261600	193.935087	197.885545	201.996848	206.155127	210.313882	214.456934	218.574429	222.662676	226.727629	230.797810	234.773401	238.777253	242.748408
3750000.000000	130.046666	130.244562	130.893237	132.968288	139.918972	160.398409	165.550368	174.070536	176.877256	179.602534	182.367747	184.976558	187.559989	190.123645	192.681387	194.480104	197.168749	201.008610	205.152640	209.399397	213.679940	217.965650	222.239833	226.492233	230.718922	234.925923	239.142672	243.266676	247.423022	251.563528
4000000.000000	135.041304	135.242786	135.903352	138.017137	145.106876	166.082632	171.380467	180.161783	183.059102	185.874704	188.733820	191.433365	194.108621	196.765322	199.417806	201.322590	204.175676	208.184568	212.438296	216.801877	221.204686	225.617352	230.022668	234.409973	238.775105	243.124154	247.487472	251.791534	256.174365	260.483208
4250000.000000	140.035607	140.240675	140.913131	143.065648	150.294442	171.766569	177.210302	186.252880	189.240812	192.146749	195.099778	197.890065	200.685899	203.538755	206.360438	208.330151	211.251934	215.360453	219.723882	224.204288	228.729365	233.268990	237.805440	242.327650	246.831226	251.369501	256.008948	260.497006	264.990337	269.411544
4500000.000000	145.029575	145.238229	145.922576	148.113822	155.481668	177.450222	183.039873	192.343828	195.422386	198.418672	201.545438	204.560512	207.522038	210.437410	213.322611	215.337634	218.328115	222.536264	227.009398	231.606632	236.253979	240.920562	245.588146	250.257310	255.088051	259.860325	264.606559	269.202424	273.806252	278.339827
4750000.000000	150.023209	150.235449	150.931684	153.161658	160.668555	183.133589	188.869178	198.434627	201.709193	204.972756	208.258344	211.334714	214.358088	217.335978	220.284704	222.345037	225.404220	229.712002	234.294842	239.008906	243.778525	248.572069	253.545772	258.542284	263.475074	268.351094	273.204114	277.907787	282.622111	287.268054
5000000.000000	155.016509	155.232335	155.940458	158.209157	165.855103	188.816671	194.698219	204.848726	208.297055	211.621990	214.971149	218.108823	221.194049	224.234462	227.246714	229.352360	232.480248	236.887666	241.580215	246.411113	251.384705	256.580310	261.732393	266.827895	271.862040	276.841807	281.801613	286.613097	291.437915	296.240073
5250000.000000	160.009474	160.228885	160.948897	163.256317	171.041313	194.499468	200.573573	211.374762	214.884798	218.271116	221.683854	224.882839	228.029920	231.132860	234.208643	236.359604	239.556201	244.063257	248.865518	254.072881	259.381249	264.670426	269.918957	275.113449	280.248950	285.332465	290.399057	295.348056	300.362835	305.398069
5500000.000000	165.002104	165.225102	165.957000	168.303141	176.227184	200.209579	206.919325	217.900667	221.472422	224.920135	228.396457	231.656759	234.865702	238.031171	241.170490	243.366770	246.632076	251.335871	256.601936	261.979057	267.377732	272.760484	278.105464	283.398946	288.635805	293.823067	298.996446	304.267996	309.598852	314.826669
5750000.000000	169.994400	170.220983	170.964768	173.349626	181.412715	206.444917	213.264846	224.426442	228.059928	231.569047	235.108960	238.430587	241.701395	244.929398	248.132257	250.406147	254.016265	259.074181	264.421584	269.885171	275.374156	280.850484	286.291913	291.684386	297.022603	302.476203	308.100257	313.522926	318.939875	324.255218
6000000.000000	174.986361	175.216530	175.972200	178.395775	186.597908	212.689774	219.610135	230.952087	234.647315	238.217851	241.821362	245.204320	248.536998	251.995438	255.545875	258.019300	261.680516	266.812425	272.241168	277.791224	283.370520	288.940424	294.478304	299.977336	305.808777	311.563465	317.270978	322.777805	328.280845	333.683717
6250000.000000	179.977987	180.211742	180.979297	183.441585	191.782761	218.934380	225.955191	237.477602	241.234584	244.866547	248.533663	252.172297	255.883191	259.527431	263.125219	265.632379	269.344697	274.550601	280.060688	285.697214	291.366824	297.030306	302.880342	308.894035	314.814811	320.650676	326.441648	332.032634	337.621765	343.134623
6500000.000000	184.969279	185.206620	185.986060	188.487058	196.967276	225.178736	232.300017	244.002986	247.821734	251.673954	255.778038	259.611403	263.368476	267.059347	270.704489	273.245387	277.008811	282.288711	287.880144	293.603144	299.363068	305.552665	311.729330	317.820627	323.820794	329.737835	335.612268	341.287414	346.962634	352.739526
