#S	T	Rho	P
41501.7118	57.3812407788	3.39100363545	25474306000.0
415017.118	64.9063625067	3.39061195626	25474306000.0
4150171.18	140.116252132	3.38669550396	25474306000.0
1000000.0	76.6903567509	3.38999853828	25474306000.0
1250000.0	81.7258368957	3.38973639095	25474306000.0
1500000.0	86.760980347	3.3894742463	25474306000.0
1750000.0	91.7957872295	3.38921210442	25474306000.0
2000000.0	96.830257533	3.38894996529	25474306000.0
2250000.0	101.864391113	3.38868782896	25474306000.0
2500000.0	106.898188117	3.38842569539	25474306000.0
2750000.0	111.931648981	3.38816356471	25474306000.0
3000000.0	116.964772252	3.38790143669	25474306000.0
3250000.0	121.997559439	3.38763931133	25474306000.0
3500000.0	127.030010537	3.38737718896	25474306000.0
3750000.0	132.062124542	3.38711506926	25474306000.0
4000000.0	137.093901957	3.38685295232	25474306000.0
4250000.0	142.125342864	3.38659083828	25474306000.0
4500000.0	147.156447132	3.38632872679	25474306000.0
4750000.0	152.187214829	3.38606661817	25474306000.0
5000000.0	157.217646525	3.38580451232	25474306000.0
5250000.0	162.247740684	3.38554240937	25474306000.0
5500000.0	167.277498712	3.38528030906	25474306000.0
5750000.0	172.306920783	3.38501821143	25474306000.0
6000000.0	177.336005727	3.3847561168	25474306000.0
6250000.0	182.364753743	3.38449402481	25474306000.0
6500000.0	187.393166244	3.38423193558	25474306000.0
6750000.0	192.421241599	3.38396984927	25474306000.0
7000000.0	197.448980418	3.38370776551	25474306000.0
7250000.0	202.852460742	3.38340899988	25474306000.0
7500000.0	208.643769505	3.38307243031	25474306000.0
7750000.0	214.434781465	3.38273586551	25474306000.0
8000000.0	220.225498315	3.38239930519	25474306000.0
8250000.0	226.015918971	3.38206274974	25474306000.0
8500000.0	231.806044273	3.38172619898	25474306000.0
8750000.0	237.595874066	3.38138965277	25474306000.0
9000000.0	243.385407094	3.38105311148	25474306000.0
9250000.0	249.182018138	3.38071597338	25474306000.0
9500000.0	255.743333913	3.38031661833	25474306000.0
9750000.0	262.441637833	3.37990611877	25474306000.0
10000000.0	269.139679248	3.3794956265	25474306000.0
10529411.8	283.322904033	3.37862637296	25474306000.0
11058823.5	297.504957258	3.37775715232	25474306000.0
11588235.3	313.395620145	3.37676003079	25474306000.0
12117647.1	329.650385768	3.37573564149	25474306000.0
12647058.8	345.903908922	3.37471214154	25474306000.0
13176470.6	363.769452698	3.37357618307	25474306000.0
13705882.4	382.177875667	3.37240164978	25474306000.0
14235294.1	400.678735246	3.3712207604	25474306000.0
14764705.9	421.270089802	3.36989616891	25474306000.0
15294117.6	441.883925249	3.3685700698	25474306000.0
15823529.4	463.855349411	3.36715291476	25474306000.0
16352941.2	486.708512506	3.36567667555	25474306000.0
16882352.9	510.507990615	3.3641382089	25474306000.0
17411764.7	535.623475914	3.362513226	25474306000.0
17941176.5	561.713343608	3.3608252039	25474306000.0
18470588.2	589.108053757	3.3590527769	25474306000.0
19000000.0	617.883439741	3.35719220221	25474306000.0
19529411.8	647.57678375	3.35527313815	25474306000.0
20058823.5	679.371154242	3.35322144299	25474306000.0
20588235.3	712.181240075	3.35110632118	25474306000.0
21117647.1	746.479391681	3.34890002298	25474306000.0
21647058.8	782.854417835	3.34656706585	25474306000.0
22176470.6	820.703063619	3.34414383279	25474306000.0
22705882.4	860.216682735	3.34161901187	25474306000.0
23235294.1	901.599376847	3.33898077455	25474306000.0
23764705.9	945.166574785	3.33621083691	25474306000.0
24294117.6	990.845431856	3.33331450044	25474306000.0
24823529.4	1038.65908602	3.33029117451	25474306000.0
25352941.2	1088.7343951	3.32713409212	25474306000.0
25882352.9	1141.17216283	3.32379535655	25474306000.0
26411764.7	1196.06171543	3.32022956536	25474306000.0
26941176.5	1253.68584651	3.31649913388	25474306000.0
27470588.2	1314.19390691	3.31259621324	25474306000.0
28000000.0	1377.54120709	3.30852465677	25474306000.0
28529411.8	1443.78790662	3.30428197988	25474306000.0
29058823.5	1513.43064047	3.29983155728	25474306000.0
29588235.3	1586.27309758	3.29496008982	25474306000.0
30117647.1	1662.62241465	3.2898755409	25474306000.0
30647058.8	1742.63678267	3.28456985056	25474306000.0
31176470.6	1826.65801223	3.2790240359	25474306000.0
31705882.4	1914.58158203	3.2731530097	25474306000.0
32235294.1	2006.62355523	3.26681247536	25474306000.0
32764705.9	2103.15190106	3.26019620424	25474306000.0
33294117.6	2204.35355059	3.25329514219	25474306000.0
33823529.4	2310.37122967	3.2458930151	25474306000.0
34352941.2	2421.35741693	3.23800093721	25474306000.0
34882352.9	2537.60146938	3.22978167203	25474306000.0
35411764.7	2659.28211055	3.22102113163	25474306000.0
35941176.5	2786.56528772	3.21164040518	25474306000.0
36470588.2	2919.8705897	3.20187809522	25474306000.0
37000000.0	3059.0111957	3.19129458902	25474306000.0
37529411.8	3204.48392642	3.18019604411	25474306000.0
38058823.5	3356.39871311	3.16833007592	25474306000.0
38588235.3	3514.87961991	3.155737045	25474306000.0
39117647.1	3680.01977606	3.14229426287	25474306000.0
39647058.8	3852.01722854	3.12806223666	25474306000.0
40176470.6	4030.71988268	3.11271716389	25474306000.0
40705882.4	4216.46988685	3.09652200391	25474306000.0
41235294.1	4408.96480516	3.07911120962	25474306000.0
41764705.9	4608.16934101	3.06042937034	25474306000.0
42294117.6	4814.13385874	3.04049653716	25474306000.0
42823529.4	5026.64287786	3.01914299473	25474306000.0
43352941.2	5245.37999822	2.9961907743	25474306000.0
43882352.9	5470.00800993	2.97144679879	25474306000.0
44411764.7	5700.821873	2.94462689668	25474306000.0
44941176.5	5935.82498575	2.91569555127	25474306000.0
45470588.2	6175.1955094	2.88436415698	25474306000.0
46000000.0	6418.22186062	2.85044011201	25474306000.0
46529411.8	6662.94492938	2.81311399057	25474306000.0
47058823.5	6909.09411323	2.77252965247	25474306000.0
47588235.3	7154.12641846	2.72781018072	25474306000.0
48117647.1	7396.02148598	2.67848798237	25474306000.0
48647058.8	7632.12884409	2.6239662	25474306000.0
49176470.6	7858.25024486	2.56322796603	25474306000.0
49705882.4	8071.09553196	2.49586183776	25474306000.0
50235294.1	8264.87109812	2.42074798287	25474306000.0
50764705.9	8434.36082486	2.33696065986	25474306000.0
51294117.6	8574.18031236	2.24447413552	25474306000.0
51823529.4	8679.72219149	2.14335471317	25474306000.0
52352941.2	8749.76380008	2.03472052208	25474306000.0
52882352.9	8788.66097557	1.92162396079	25474306000.0
53411764.7	8763.57537008	1.74898645829	25474306000.0
53941176.5	8777.04595916	1.64497828354	25474306000.0
54470588.2	8806.9218328	1.57873176898	25474306000.0
55000000.0	8819.9466958	1.4715942728	25474306000.0
55529411.8	8829.25644166	1.39428304706	25474306000.0
56058823.5	8864.09397612	1.31320396554	25474306000.0
56588235.3	8915.60145151	1.24113894244	25474306000.0
57117647.1	8978.52182196	1.17177087205	25474306000.0
57647058.8	9067.47822001	1.11044575355	25474306000.0
58176470.6	9160.50706384	1.05260508567	25474306000.0
58705882.4	9270.56147003	1.00010549229	25474306000.0
59235294.1	9397.56245549	0.95252198935	25474306000.0
59764705.9	9528.64359542	0.907353109603	25474306000.0
60294117.6	9673.66217276	0.865981468613	25474306000.0
60823529.4	9832.03038976	0.82792587705	25474306000.0
61352941.2	10002.2953901	0.789782646242	25474306000.0
61882352.9	10188.2219259	0.752749506469	25474306000.0
62411764.7	10396.2622603	0.716434207216	25474306000.0
62941176.5	10617.7942025	0.682645778913	25474306000.0
63470588.2	10851.6947836	0.651241235138	25474306000.0
64000000.0	11093.0922875	0.621840676086	25474306000.0
64529411.8	11342.6676105	0.594342787262	25474306000.0
65058823.5	11603.2242386	0.568727290679	25474306000.0
65588235.3	11874.3703992	0.544843474629	25474306000.0
66117647.1	12155.858531	0.522557273364	25474306000.0
66647058.8	12440.5172092	0.501517714087	25474306000.0
67176470.6	12733.1913127	0.481806431203	25474306000.0
67705882.4	13035.5865324	0.463381952984	25474306000.0
68235294.1	13346.2953789	0.446110027022	25474306000.0
68764705.9	13657.7501956	0.429707797674	25474306000.0
69294117.6	13978.812806	0.414358501422	25474306000.0
69823529.4	14308.0347848	0.399947875051	25474306000.0
70352941.2	14636.8341483	0.386211632556	25474306000.0
70882352.9	14975.7413041	0.373352245724	25474306000.0
71411764.7	15317.5045527	0.361148253565	25474306000.0
71941176.5	15663.6524831	0.349596414747	25474306000.0
72470588.2	16017.4063358	0.338715696213	25474306000.0
73000000.0	16370.5454746	0.328309815979	25474306000.0
73529411.8	16733.9161796	0.318547488801	25474306000.0
74058823.5	17094.0955155	0.309154323058	25474306000.0
74588235.3	17465.0777418	0.300344198812	25474306000.0
75117647.1	17832.6517806	0.291853205448	25474306000.0
75647058.8	18209.5196527	0.283859150309	25474306000.0
76176470.6	18585.1748925	0.276178214871	25474306000.0
76705882.4	18966.4118594	0.268887682339	25474306000.0
77235294.1	19351.2167859	0.261939872369	25474306000.0
77764705.9	19751.1969919	0.254775647856	25474306000.0
78294117.6	20190.8492672	0.247229822274	25474306000.0
78823529.4	20662.8375981	0.238913498826	25474306000.0
79352941.2	21154.3684417	0.231110547898	25474306000.0
79882352.9	21637.4889748	0.223613448964	25474306000.0
80411764.7	22138.5609572	0.216660653104	25474306000.0
80941176.5	22625.7944978	0.209922644531	25474306000.0
81470588.2	23129.5069423	0.203656973138	25474306000.0
82000000.0	23627.1236575	0.19764258535	25474306000.0
82529411.8	24130.0700084	0.191956769968	25474306000.0
83058823.5	24642.6167957	0.186612314795	25474306000.0
83588235.3	25142.0560936	0.181420397235	25474306000.0
84117647.1	25653.9028845	0.176554779232	25474306000.0
84647058.8	26168.1295159	0.171933575933	25474306000.0
85176470.6	26670.0065038	0.167460627076	25474306000.0
85705882.4	27181.8314403	0.163252752979	25474306000.0
86235294.1	27700.7145885	0.159275762279	25474306000.0
86764705.9	28200.3727711	0.15537354194	25474306000.0
87294117.6	28708.3554367	0.151689672929	25474306000.0
87823529.4	29223.255913	0.148194576523	25474306000.0
88352941.2	29735.1794216	0.144848599913	25474306000.0
88882352.9	30207.4920261	0.141184528475	25474306000.0
89411764.7	30694.8170812	0.13782043285	25474306000.0
89941176.5	31171.5251228	0.134447115401	25474306000.0
90470588.2	31635.0207065	0.131160681357	25474306000.0
91000000.0	32094.0873712	0.128003291551	25474306000.0
91529411.8	32559.1276742	0.125019849149	25474306000.0
92058823.5	33029.6611563	0.122196364979	25474306000.0
92588235.3	33491.5071061	0.119461319461	25474306000.0
93117647.1	33941.041938	0.116794017134	25474306000.0
93647058.8	34395.8112876	0.114262278645	25474306000.0
94176470.6	34855.4261196	0.11185602497	25474306000.0
94705882.4	35319.5348693	0.109566152301	25474306000.0
95235294.1	35773.6235212	0.107332025515	25474306000.0
95764705.9	36215.4496828	0.105143302995	25474306000.0
96294117.6	36661.4846	0.103056067767	25474306000.0
96823529.4	37111.4420304	0.101063421086	25474306000.0
97352941.2	37565.0613455	0.0991590756219	25474306000.0
97882352.9	38022.1043655	0.0973372891953	25474306000.0
98411764.7	38468.0750479	0.095550102237	25474306000.0
98941176.5	38900.6046261	0.0937894312001	25474306000.0
99470588.2	39336.454731	0.0921024124666	25474306000.0
100000000.0	39773.9510878	0.0904677795838	25474306000.0
121951220.0	59844.2555319	0.0459200589519	25474306000.0
143902439.0	83479.0533927	0.0270481116674	25474306000.0
165853659.0	103693.414568	0.0182459015391	25474306000.0
187804878.0	124136.116868	0.0129512530081	25474306000.0
209756098.0	148790.524737	0.00997133249536	25474306000.0
231707317.0	139579.14867	0.00720078862458	25474306000.0
253658537.0	130917.444961	0.00542348097668	25474306000.0
275609756.0	124565.12838	0.00429124760405	25474306000.0
297560976.0	122482.246332	0.00329442970125	25474306000.0
319512195.0	122099.842061	0.00254483877649	25474306000.0
341463415.0	122360.0299	0.00203684606581	25474306000.0
363414634.0	124029.948569	0.00164581556316	25474306000.0
385365854.0	126432.663472	0.0013558944534	25474306000.0
407317073.0	129936.509323	0.00111614578485	25474306000.0
429268293.0	134723.306376	0.00089709631793	25474306000.0
451219512.0	140398.904123	0.000697192518103	25474306000.0
473170732.0	144526.916789	0.000531127122537	25474306000.0
495121951.0	149227.122587	0.000426180554808	25474306000.0
517073171.0	154080.736944	0.000355869831354	25474306000.0
539024390.0	160254.31376	0.000305477143424	25474306000.0
