#S	T	Rho	P
3684.5	43.4368647478	8.1249260112	54235925000.0
36845.0	44.7187775515	8.12461938394	54235925000.0
368450.0	57.5379376439	8.12155315154	54235925000.0
1000000.0	81.9525091285	8.11571363724	54235925000.0
1250000.0	91.617111672	8.11340212964	54235925000.0
1500000.0	101.281747198	8.11109066377	54235925000.0
1750000.0	110.946416189	8.10877923895	54235925000.0
2000000.0	120.611118301	8.10646785586	54235925000.0
2250000.0	130.275853522	8.1041565142	54235925000.0
2500000.0	139.940620836	8.10184521356	54235925000.0
2750000.0	149.60496136	8.09953265141	54235925000.0
3000000.0	159.267507857	8.09721496459	54235925000.0
3250000.0	168.930083726	8.09489731007	54235925000.0
3500000.0	178.592688939	8.09257968711	54235925000.0
3750000.0	188.255322621	8.09026209644	54235925000.0
4000000.0	197.917986572	8.08794453735	54235925000.0
4250000.0	209.754120755	8.08510786815	54235925000.0
4500000.0	222.187285014	8.08212867925	54235925000.0
4750000.0	234.620526444	8.07914954181	54235925000.0
5000000.0	247.053845545	8.07617045661	54235925000.0
5250000.0	261.58908761	8.07269036947	54235925000.0
5500000.0	276.777146304	8.06905480325	54235925000.0
5750000.0	291.965320384	8.06541932339	54235925000.0
6000000.0	308.444741513	8.0614767376	54235925000.0
6250000.0	326.37462259	8.05718928644	54235925000.0
6500000.0	344.304716816	8.05290195578	54235925000.0
6750000.0	364.09719494	8.04817260994	54235925000.0
7000000.0	384.75687287	8.04323766219	54235925000.0
7250000.0	406.12964446	8.03813396459	54235925000.0
7500000.0	429.508575146	8.03255531433	54235925000.0
7750000.0	453.222276579	8.02689778446	54235925000.0
8000000.0	479.309575222	8.0206794973	54235925000.0
8250000.0	505.955618619	8.01432981476	54235925000.0
8500000.0	534.741914577	8.00747558796	54235925000.0
8750000.0	564.791602162	8.00032458977	54235925000.0
9000000.0	596.243418388	7.99283100675	54235925000.0
9250000.0	630.05074349	7.98478284987	54235925000.0
9500000.0	665.284800156	7.97640019255	54235925000.0
9750000.0	702.409328501	7.96757470764	54235925000.0
10000000.0	741.675434614	7.95824824254	54235925000.0
10529411.8	832.161377888	7.93678817055	54235925000.0
11058823.5	933.150050071	7.91288923966	54235925000.0
11588235.3	1045.63892525	7.88584757004	54235925000.0
12117647.1	1171.33669093	7.85520718074	54235925000.0
12647058.8	1311.14207514	7.82124000826	54235925000.0
13176470.6	1466.6407906	7.78277359281	54235925000.0
13705882.4	1638.87613185	7.73918652638	54235925000.0
14235294.1	1829.7451225	7.69070956005	54235925000.0
14764705.9	2040.14857415	7.63545294498	54235925000.0
15294117.6	2271.95367488	7.57380673703	54235925000.0
15823529.4	2526.51587219	7.50484470074	54235925000.0
16352941.2	2804.38708514	7.42686038517	54235925000.0
16882352.9	3107.26935867	7.33990544499	54235925000.0
17411764.7	3435.47919206	7.24309488104	54235925000.0
17941176.5	3789.90943618	7.13548063044	54235925000.0
18470588.2	4170.70039136	7.01652043063	54235925000.0
19000000.0	4577.64532362	6.88520997033	54235925000.0
19529411.8	5010.36382229	6.74103080513	54235925000.0
20058823.5	5470.55282972	6.58450767417	54235925000.0
20588235.3	5958.17432589	6.41489905854	54235925000.0
21117647.1	6474.83718194	6.2327399128	54235925000.0
21647058.8	7026.5984354	6.03895794655	54235925000.0
22176470.6	7622.06284281	5.83436703032	54235925000.0
22705882.4	8276.25524003	5.62012727028	54235925000.0
23235294.1	9012.17871556	5.39775035919	54235925000.0
23764705.9	9861.72568103	5.1673174718	54235925000.0
24294117.6	11172.6177152	4.91028480783	54235925000.0
24823529.4	12720.9580353	4.65632692865	54235925000.0
25352941.2	14625.7476771	4.3146584604	54235925000.0
25882352.9	16673.7556634	4.05615315867	54235925000.0
26411764.7	18708.3432628	3.8939553578	54235925000.0
26941176.5	21272.7068762	3.70525937587	54235925000.0
27470588.2	24502.1367018	3.41601720366	54235925000.0
28000000.0	27399.2231319	3.03776993763	54235925000.0
28529411.8	29720.4294063	2.66921646538	54235925000.0
29058823.5	30507.2313834	2.13124052459	54235925000.0
29588235.3	30572.7910971	1.65484169889	54235925000.0
30117647.1	31199.504008	1.3691408197	54235925000.0
30647058.8	32054.0531993	1.18004238319	54235925000.0
31176470.6	32990.8132348	1.04574479719	54235925000.0
31705882.4	33929.2578377	0.94360794226	54235925000.0
32235294.1	34837.7809586	0.862352807536	54235925000.0
32764705.9	35708.0240667	0.795698166233	54235925000.0
33294117.6	36677.437828	0.738665782565	54235925000.0
33823529.4	37680.1194968	0.689606575447	54235925000.0
34352941.2	38730.3671484	0.64679736601	54235925000.0
34882352.9	39765.0072342	0.60898020146	54235925000.0
35411764.7	40864.5099084	0.573986941253	54235925000.0
35941176.5	42068.5660501	0.537313944576	54235925000.0
36470588.2	43295.1202135	0.504890592963	54235925000.0
