#S	T	Rho	P
41501.7118	55.9170076451	3.33343230548	1000000.0
415017.118	63.3865987418	3.33304281131	1000000.0
4150171.18	138.041427879	3.32914809435	1000000.0
1000000.0	75.0836323406	3.33243281142	1000000.0
1250000.0	80.0819521468	3.33217212314	1000000.0
1500000.0	85.0799372591	3.33191143668	1000000.0
1750000.0	90.0775878249	3.33165075206	1000000.0
2000000.0	95.0749037016	3.33139006926	1000000.0
2250000.0	100.071884943	3.3311293883	1000000.0
2500000.0	105.068531926	3.33086870917	1000000.0
2750000.0	110.064844223	3.33060803187	1000000.0
3000000.0	115.060820914	3.3303473564	1000000.0
3250000.0	120.056464001	3.33008668277	1000000.0
3500000.0	125.051772296	3.32982601096	1000000.0
3750000.0	130.046746199	3.329565341	1000000.0
4000000.0	135.041385509	3.32930467286	1000000.0
4250000.0	140.035690068	3.32904400654	1000000.0
4500000.0	145.029659365	3.32878334206	1000000.0
4750000.0	150.023294778	3.3285226794	1000000.0
5000000.0	155.016595763	3.32826201858	1000000.0
5250000.0	160.009562174	3.32800135959	1000000.0
5500000.0	165.002193903	3.32774070243	1000000.0
5750000.0	169.994491185	3.3274800471	1000000.0
6000000.0	174.986453813	3.32721939359	1000000.0
6250000.0	179.978081059	3.32695874193	1000000.0
6500000.0	184.969374659	3.3266980921	1000000.0
6750000.0	189.960333647	3.3264374441	1000000.0
7000000.0	194.950958152	3.32617679791	1000000.0
7250000.0	199.946951991	3.32591560529	1000000.0
7500000.0	205.697752623	3.32558231861	1000000.0
7750000.0	211.463156377	3.32524761315	1000000.0
8000000.0	217.228035924	3.32490971151	1000000.0
8250000.0	222.991958816	3.32456271404	1000000.0
8500000.0	228.755578311	3.32421572002	1000000.0
8750000.0	234.518892462	3.32386872946	1000000.0
9000000.0	240.281903198	3.32352174235	1000000.0
9250000.0	246.044609481	3.32317475869	1000000.0
9500000.0	252.094172529	3.32280387766	1000000.0
9750000.0	258.772292145	3.32238067982	1000000.0
10000000.0	265.450143937	3.3219574875	1000000.0
10529411.8	279.590591838	3.3210613338	1000000.0
11058823.5	293.729838521	3.32016520492	1000000.0
11588235.3	309.027389625	3.31918010142	1000000.0
12117647.1	325.248127364	3.31812410562	1000000.0
12647058.8	341.46783534	3.31706814704	1000000.0
13176470.6	358.711927304	3.31593718865	1000000.0
13705882.4	377.093617018	3.3147229885	1000000.0
14235294.1	395.474470032	3.31350884125	1000000.0
14764705.9	415.522218777	3.31217660911	1000000.0
15294117.6	436.11422896	3.31080585995	1000000.0
15823529.4	457.436367512	3.30938463957	1000000.0
16352941.2	480.271523087	3.30785885169	1000000.0
16882352.9	503.414485265	3.30631223774	1000000.0
17411764.7	528.51498481	3.3046328803	1000000.0
17941176.5	553.943990569	3.30293168292	1000000.0
18470588.2	581.326121494	3.30110012324	1000000.0
19000000.0	609.430079844	3.29917960326	1000000.0
19529411.8	639.086624518	3.29709285378	1000000.0
20058823.5	670.197315121	3.29490656212	1000000.0
20588235.3	702.325259667	3.2926509146	1000000.0
21117647.1	736.57728414	3.2902513119	1000000.0
21647058.8	772.252439986	3.28775632256	1000000.0
22176470.6	809.395648145	3.28516332439	1000000.0
22705882.4	848.330281776	3.28245132114	1000000.0
23235294.1	889.42841726	3.2795966185	1000000.0
23764705.9	932.392227057	3.27661987478	1000000.0
24294117.6	977.321926152	3.2734349689	1000000.0
24823529.4	1024.34899897	3.27001969727	1000000.0
25352941.2	1073.62371444	3.26645245171	1000000.0
25882352.9	1125.26126964	3.2627264886	1000000.0
26411764.7	1179.36721404	3.25883581694	1000000.0
26941176.5	1236.03866941	3.25477510234	1000000.0
27470588.2	1295.36747787	3.25053943828	1000000.0
28000000.0	1357.62395812	3.24589897988	1000000.0
28529411.8	1422.92610578	3.24102079169	1000000.0
29058823.5	1491.16893188	3.23594339902	1000000.0
29588235.3	1562.82107514	3.23063631163	1000000.0
30117647.1	1637.88627869	3.22510123783	1000000.0
30647058.8	1716.44068048	3.21901972966	1000000.0
31176470.6	1798.66288024	3.21267900352	1000000.0
31705882.4	1884.99636183	3.20605595857	1000000.0
32235294.1	1975.40329489	3.19910837984	1000000.0
32764705.9	2069.91351966	3.19152734243	1000000.0
33294117.6	2168.97271816	3.18227114531	1000000.0
33823529.4	2272.75469208	3.15009295926	1000000.0
34352941.2	2381.28221761	3.15000884994	1000000.0
34882352.9	2494.7782145	3.15000420184	1000000.0
35411764.7	2613.61027588	3.12502683691	1000000.0
35941176.5	2737.79481491	3.1250056937	1000000.0
36470588.2	2867.58687769	3.10008329095	1000000.0
37000000.0	3003.04783487	3.10000600548	1000000.0
37529411.8	3144.48880495	3.07528815009	1000000.0
38058823.5	3291.9273511	3.07500189678	1000000.0
38588235.3	3360.1193503	0.0179716568959	1000000.0
39117647.1	3115.77606461	0.00757184469747	1000000.0
39647058.8	2846.92032715	0.0051934441066	1000000.0
40176470.6	2672.03370484	0.00373519605176	1000000.0
40705882.4	2564.19087541	0.00284664287018	1000000.0
41235294.1	2489.0344879	0.00224359416795	1000000.0
